S.No,Crop Name,ScientificName,n,P,K,Zn,MN_Fe_B_Cu
1019,Orange,,High,Low,High,VeryLow,VeryLow
1020,Celery,,High,Low,High,VeryLow,VeryLow
1021,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1022,TableTomato,,High,Low,High,VeryLow,VeryLow
1023,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1024,Sorghum,,M,Low,M,VeryLow,VeryLow
1025,PearlMillet,,M,Low,M,VeryLow,VeryLow
1026,Raagi,,Low,Low,Low,VeryLow,VeryLow
1027,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1028,Barley,,Low,Low,Low,VeryLow,VeryLow
1029,ChickPea,,M,Low,M,VeryLow,VeryLow
1030,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1031,SoyaBean,,High,Low,M,VeryLow,VeryLow
1032,Jute,,M,Low,M,VeryLow,VeryLow
1033,Rubber,,Low,M,Low,,
1034,Tea,,High,Low,M,,
1035,Tobacco,,High,Low,M,,
1036,Apple,,High,Low,M,,
1037,CustardApple,,M,Low,M,,
1038,WaterMelon,,High,Low,M,,
1039,Beetroot,,High,High,High,,
1040,Carrot,,High,High,M,,
1041,Rice,Oryza sativum,High,M,M,High,Medium
1042,Wheat,Triticum,High,Low,M,Medium,Medium
1043,Maize,Zea mays,High,High,Low,Low,VeryLow
1044,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1045,Coconut,Cocus nucifera,M,High,M,Low,Low
1046,Chilli,Capsicum frutescens,High,M,M,Low,Low
1047,Cotton,Gossypium,High,M,M,Low,Low
1048,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1049,Onion,Allium sepa,High,M,High,High,High
1050,Potato,Solanum tuberosum,High,High,High,Low,Low
1051,Brinjal,Solanum melongena,High,M,M,Low,Low
1052,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1053,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1054,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1055,Banana,Musa acuminata,High,High,High,M,M
1056,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1057,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1058,Mango,Mangifera indica,High,High,M,Medium,Medium
1059,Castor,Ricinus communis,High,M,High,Medium,Low
1060,Mustard,Brassica   ,High,M,M,Low,Low
1061,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1062,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1063,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1064,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1065,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1066,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1067,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1068,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1069,Garlic,,High,Low,High,,VeryLow
1070,Peas,,High,Low,High,VeryLow,VeryLow
1071,Orange,,High,Low,High,VeryLow,VeryLow
1072,Celery,,High,Low,High,VeryLow,VeryLow
1073,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1074,TableTomato,,High,Low,High,VeryLow,VeryLow
1075,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1076,Sorghum,,M,Low,M,VeryLow,VeryLow
1077,PearlMillet,,M,Low,M,VeryLow,VeryLow
1078,Raagi,,Low,Low,Low,VeryLow,VeryLow
1079,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1080,Barley,,Low,Low,Low,VeryLow,VeryLow
1081,ChickPea,,M,Low,M,VeryLow,VeryLow
1082,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1083,SoyaBean,,High,Low,M,VeryLow,VeryLow
1084,Jute,,M,Low,M,VeryLow,VeryLow
1085,Rubber,,Low,M,Low,,
1086,Tea,,High,Low,M,,
1087,Tobacco,,High,Low,M,,
1088,Apple,,High,Low,M,,
1089,CustardApple,,M,Low,M,,
1090,WaterMelon,,High,Low,M,,
1091,Beetroot,,High,High,High,,
1092,Carrot,,High,High,M,,
1093,Rice,Oryza sativum,High,M,M,High,Medium
1094,Wheat,Triticum,High,Low,M,Medium,Medium
1095,Maize,Zea mays,High,High,Low,Low,VeryLow
1096,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1097,Coconut,Cocus nucifera,M,High,M,Low,Low
1098,Chilli,Capsicum frutescens,High,M,M,Low,Low
1099,Cotton,Gossypium,High,M,M,Low,Low
1100,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1101,Onion,Allium sepa,High,M,High,High,High
1102,Potato,Solanum tuberosum,High,High,High,Low,Low
1103,Brinjal,Solanum melongena,High,M,M,Low,Low
1104,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1105,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1106,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1107,Banana,Musa acuminata,High,High,High,M,M
1108,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1109,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1110,Mango,Mangifera indica,High,High,M,Medium,Medium
1111,Castor,Ricinus communis,High,M,High,Medium,Low
1112,Mustard,Brassica   ,High,M,M,Low,Low
1113,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1114,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1115,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1116,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1117,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1118,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1119,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1120,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1121,Garlic,,High,Low,High,,VeryLow
1122,Peas,,High,Low,High,VeryLow,VeryLow
1123,Orange,,High,Low,High,VeryLow,VeryLow
1124,Celery,,High,Low,High,VeryLow,VeryLow
1125,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1126,TableTomato,,High,Low,High,VeryLow,VeryLow
1127,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1128,Sorghum,,M,Low,M,VeryLow,VeryLow
1129,PearlMillet,,M,Low,M,VeryLow,VeryLow
1130,Raagi,,Low,Low,Low,VeryLow,VeryLow
1131,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1132,Barley,,Low,Low,Low,VeryLow,VeryLow
1133,ChickPea,,M,Low,M,VeryLow,VeryLow
1134,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1135,SoyaBean,,High,Low,M,VeryLow,VeryLow
1136,Jute,,M,Low,M,VeryLow,VeryLow
1137,Rubber,,Low,M,Low,,
1138,Tea,,High,Low,M,,
1139,Tobacco,,High,Low,M,,
1140,Apple,,High,Low,M,,
1141,CustardApple,,M,Low,M,,
1142,WaterMelon,,High,Low,M,,
1143,Beetroot,,High,High,High,,
1144,Carrot,,High,High,M,,
1145,Rice,Oryza sativum,High,M,M,High,Medium
1146,Wheat,Triticum,High,Low,M,Medium,Medium
1147,Maize,Zea mays,High,High,Low,Low,VeryLow
1148,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1149,Coconut,Cocus nucifera,M,High,M,Low,Low
1150,Chilli,Capsicum frutescens,High,M,M,Low,Low
1151,Cotton,Gossypium,High,M,M,Low,Low
1152,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1153,Onion,Allium sepa,High,M,High,High,High
1154,Potato,Solanum tuberosum,High,High,High,Low,Low
1155,Brinjal,Solanum melongena,High,M,M,Low,Low
1156,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1157,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1158,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1159,Banana,Musa acuminata,High,High,High,M,M
1160,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1161,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1162,Mango,Mangifera indica,High,High,M,Medium,Medium
1163,Castor,Ricinus communis,High,M,High,Medium,Low
1164,Mustard,Brassica   ,High,M,M,Low,Low
1165,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1166,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1167,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1168,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1169,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1170,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1171,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1172,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1173,Garlic,,High,Low,High,,VeryLow
1174,Peas,,High,Low,High,VeryLow,VeryLow
1175,Orange,,High,Low,High,VeryLow,VeryLow
1176,Celery,,High,Low,High,VeryLow,VeryLow
1177,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1178,TableTomato,,High,Low,High,VeryLow,VeryLow
1179,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1180,Sorghum,,M,Low,M,VeryLow,VeryLow
1181,PearlMillet,,M,Low,M,VeryLow,VeryLow
1182,Raagi,,Low,Low,Low,VeryLow,VeryLow
1183,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1184,Barley,,Low,Low,Low,VeryLow,VeryLow
1185,ChickPea,,M,Low,M,VeryLow,VeryLow
1186,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1187,SoyaBean,,High,Low,M,VeryLow,VeryLow
1188,Jute,,M,Low,M,VeryLow,VeryLow
1189,Rubber,,Low,M,Low,,
1190,Tea,,High,Low,M,,
1191,Tobacco,,High,Low,M,,
1192,Apple,,High,Low,M,,
1193,CustardApple,,M,Low,M,,
1194,WaterMelon,,High,Low,M,,
1195,Beetroot,,High,High,High,,
1196,Carrot,,High,High,M,,
1197,Rice,Oryza sativum,High,M,M,High,Medium
1198,Wheat,Triticum,High,Low,M,Medium,Medium
1199,Maize,Zea mays,High,High,Low,Low,VeryLow
1200,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1201,Coconut,Cocus nucifera,M,High,M,Low,Low
1202,Chilli,Capsicum frutescens,High,M,M,Low,Low
1203,Cotton,Gossypium,High,M,M,Low,Low
1204,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1205,Onion,Allium sepa,High,M,High,High,High
1206,Potato,Solanum tuberosum,High,High,High,Low,Low
1207,Brinjal,Solanum melongena,High,M,M,Low,Low
1208,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1209,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1210,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1211,Banana,Musa acuminata,High,High,High,M,M
1212,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1213,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1214,Mango,Mangifera indica,High,High,M,Medium,Medium
1215,Castor,Ricinus communis,High,M,High,Medium,Low
1216,Mustard,Brassica   ,High,M,M,Low,Low
1217,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1218,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1219,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1220,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1221,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1222,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1223,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1224,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1225,Garlic,,High,Low,High,,VeryLow
1226,Peas,,High,Low,High,VeryLow,VeryLow
1227,Orange,,High,Low,High,VeryLow,VeryLow
1228,Celery,,High,Low,High,VeryLow,VeryLow
1229,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1230,TableTomato,,High,Low,High,VeryLow,VeryLow
1231,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1232,Sorghum,,M,Low,M,VeryLow,VeryLow
1233,PearlMillet,,M,Low,M,VeryLow,VeryLow
1234,Raagi,,Low,Low,Low,VeryLow,VeryLow
1235,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1236,Barley,,Low,Low,Low,VeryLow,VeryLow
1237,ChickPea,,M,Low,M,VeryLow,VeryLow
1238,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1239,SoyaBean,,High,Low,M,VeryLow,VeryLow
1240,Jute,,M,Low,M,VeryLow,VeryLow
1241,Rubber,,Low,M,Low,,
1242,Tea,,High,Low,M,,
1243,Tobacco,,High,Low,M,,
1244,Apple,,High,Low,M,,
1245,CustardApple,,M,Low,M,,
1246,WaterMelon,,High,Low,M,,
1247,Beetroot,,High,High,High,,
1248,Carrot,,High,High,M,,
1249,Rice,Oryza sativum,High,M,M,High,Medium
1250,Wheat,Triticum,High,Low,M,Medium,Medium
1251,Maize,Zea mays,High,High,Low,Low,VeryLow
1252,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1253,Coconut,Cocus nucifera,M,High,M,Low,Low
1254,Chilli,Capsicum frutescens,High,M,M,Low,Low
1255,Cotton,Gossypium,High,M,M,Low,Low
1256,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1257,Onion,Allium sepa,High,M,High,High,High
1258,Potato,Solanum tuberosum,High,High,High,Low,Low
1259,Brinjal,Solanum melongena,High,M,M,Low,Low
1260,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1261,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1262,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1263,Banana,Musa acuminata,High,High,High,M,M
1264,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1265,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1266,Mango,Mangifera indica,High,High,M,Medium,Medium
1267,Castor,Ricinus communis,High,M,High,Medium,Low
1268,Mustard,Brassica   ,High,M,M,Low,Low
1269,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1270,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1271,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1272,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1273,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1274,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1275,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1276,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1277,Garlic,,High,Low,High,,VeryLow
1278,Peas,,High,Low,High,VeryLow,VeryLow
1279,Orange,,High,Low,High,VeryLow,VeryLow
1280,Celery,,High,Low,High,VeryLow,VeryLow
1281,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1282,TableTomato,,High,Low,High,VeryLow,VeryLow
1283,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1284,Sorghum,,M,Low,M,VeryLow,VeryLow
1285,PearlMillet,,M,Low,M,VeryLow,VeryLow
1286,Raagi,,Low,Low,Low,VeryLow,VeryLow
1287,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1288,Barley,,Low,Low,Low,VeryLow,VeryLow
1289,ChickPea,,M,Low,M,VeryLow,VeryLow
1290,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1291,SoyaBean,,High,Low,M,VeryLow,VeryLow
1292,Jute,,M,Low,M,VeryLow,VeryLow
1293,Rubber,,Low,M,Low,,
1294,Tea,,High,Low,M,,
1295,Tobacco,,High,Low,M,,
1296,Apple,,High,Low,M,,
1297,CustardApple,,M,Low,M,,
1298,WaterMelon,,High,Low,M,,
1299,Beetroot,,High,High,High,,
1300,Carrot,,High,High,M,,
1301,Rice,Oryza sativum,High,M,M,High,Medium
1302,Wheat,Triticum,High,Low,M,Medium,Medium
1303,Maize,Zea mays,High,High,Low,Low,VeryLow
1304,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1305,Coconut,Cocus nucifera,M,High,M,Low,Low
1306,Chilli,Capsicum frutescens,High,M,M,Low,Low
1307,Cotton,Gossypium,High,M,M,Low,Low
1308,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1309,Onion,Allium sepa,High,M,High,High,High
1310,Potato,Solanum tuberosum,High,High,High,Low,Low
1311,Brinjal,Solanum melongena,High,M,M,Low,Low
1312,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1313,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1314,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1315,Banana,Musa acuminata,High,High,High,M,M
1316,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1317,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1318,Mango,Mangifera indica,High,High,M,Medium,Medium
1319,Castor,Ricinus communis,High,M,High,Medium,Low
1320,Mustard,Brassica   ,High,M,M,Low,Low
1321,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1322,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1323,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1324,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1325,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1326,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1327,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1328,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1329,Garlic,,High,Low,High,,VeryLow
1330,Peas,,High,Low,High,VeryLow,VeryLow
1331,Orange,,High,Low,High,VeryLow,VeryLow
1332,Celery,,High,Low,High,VeryLow,VeryLow
1333,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1334,TableTomato,,High,Low,High,VeryLow,VeryLow
1335,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1336,Sorghum,,M,Low,M,VeryLow,VeryLow
1337,PearlMillet,,M,Low,M,VeryLow,VeryLow
1338,Raagi,,Low,Low,Low,VeryLow,VeryLow
1339,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1340,Barley,,Low,Low,Low,VeryLow,VeryLow
1341,ChickPea,,M,Low,M,VeryLow,VeryLow
1342,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1343,SoyaBean,,High,Low,M,VeryLow,VeryLow
1344,Jute,,M,Low,M,VeryLow,VeryLow
1345,Rubber,,Low,M,Low,,
1346,Tea,,High,Low,M,,
1347,Tobacco,,High,Low,M,,
1348,Apple,,High,Low,M,,
1349,CustardApple,,M,Low,M,,
1350,WaterMelon,,High,Low,M,,
1351,Beetroot,,High,High,High,,
1352,Carrot,,High,High,M,,
1353,Rice,Oryza sativum,High,M,M,High,Medium
1354,Wheat,Triticum,High,Low,M,Medium,Medium
1355,Maize,Zea mays,High,High,Low,Low,VeryLow
1356,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1357,Coconut,Cocus nucifera,M,High,M,Low,Low
1358,Chilli,Capsicum frutescens,High,M,M,Low,Low
1359,Cotton,Gossypium,High,M,M,Low,Low
1360,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1361,Onion,Allium sepa,High,M,High,High,High
1362,Potato,Solanum tuberosum,High,High,High,Low,Low
1363,Brinjal,Solanum melongena,High,M,M,Low,Low
1364,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1365,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1366,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1367,Banana,Musa acuminata,High,High,High,M,M
1368,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1369,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1370,Mango,Mangifera indica,High,High,M,Medium,Medium
1371,Castor,Ricinus communis,High,M,High,Medium,Low
1372,Mustard,Brassica   ,High,M,M,Low,Low
1373,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1374,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1375,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1376,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1377,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1378,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1379,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1380,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1381,Garlic,,High,Low,High,,VeryLow
1382,Peas,,High,Low,High,VeryLow,VeryLow
1383,Orange,,High,Low,High,VeryLow,VeryLow
1384,Celery,,High,Low,High,VeryLow,VeryLow
1385,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1386,TableTomato,,High,Low,High,VeryLow,VeryLow
1387,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1388,Sorghum,,M,Low,M,VeryLow,VeryLow
1389,PearlMillet,,M,Low,M,VeryLow,VeryLow
1390,Raagi,,Low,Low,Low,VeryLow,VeryLow
1391,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1392,Barley,,Low,Low,Low,VeryLow,VeryLow
1393,ChickPea,,M,Low,M,VeryLow,VeryLow
1394,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1395,SoyaBean,,High,Low,M,VeryLow,VeryLow
1396,Jute,,M,Low,M,VeryLow,VeryLow
1397,Rubber,,Low,M,Low,,
1398,Tea,,High,Low,M,,
1399,Tobacco,,High,Low,M,,
1400,Apple,,High,Low,M,,
1401,CustardApple,,M,Low,M,,
1402,WaterMelon,,High,Low,M,,
1403,Beetroot,,High,High,High,,
1404,Carrot,,High,High,M,,
1405,Rice,Oryza sativum,High,M,M,High,Medium
1406,Wheat,Triticum,High,Low,M,Medium,Medium
1407,Maize,Zea mays,High,High,Low,Low,VeryLow
1408,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1409,Coconut,Cocus nucifera,M,High,M,Low,Low
1410,Chilli,Capsicum frutescens,High,M,M,Low,Low
1411,Cotton,Gossypium,High,M,M,Low,Low
1412,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1413,Onion,Allium sepa,High,M,High,High,High
1414,Potato,Solanum tuberosum,High,High,High,Low,Low
1415,Brinjal,Solanum melongena,High,M,M,Low,Low
1416,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1417,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1418,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1419,Banana,Musa acuminata,High,High,High,M,M
1420,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1421,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1422,Mango,Mangifera indica,High,High,M,Medium,Medium
1423,Castor,Ricinus communis,High,M,High,Medium,Low
1424,Mustard,Brassica   ,High,M,M,Low,Low
1425,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1426,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1427,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1428,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1429,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1430,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1431,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1432,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1433,Garlic,,High,Low,High,,VeryLow
1434,Peas,,High,Low,High,VeryLow,VeryLow
1435,Orange,,High,Low,High,VeryLow,VeryLow
1436,Celery,,High,Low,High,VeryLow,VeryLow
1437,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1438,TableTomato,,High,Low,High,VeryLow,VeryLow
1439,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1440,Sorghum,,M,Low,M,VeryLow,VeryLow
1441,PearlMillet,,M,Low,M,VeryLow,VeryLow
1442,Raagi,,Low,Low,Low,VeryLow,VeryLow
1443,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1444,Barley,,Low,Low,Low,VeryLow,VeryLow
1445,ChickPea,,M,Low,M,VeryLow,VeryLow
1446,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1447,SoyaBean,,High,Low,M,VeryLow,VeryLow
1448,Jute,,M,Low,M,VeryLow,VeryLow
1449,Rubber,,Low,M,Low,,
1450,Tea,,High,Low,M,,
1451,Tobacco,,High,Low,M,,
1452,Apple,,High,Low,M,,
1453,CustardApple,,M,Low,M,,
1454,WaterMelon,,High,Low,M,,
1455,Beetroot,,High,High,High,,
1456,Carrot,,High,High,M,,
1457,Rice,Oryza sativum,High,M,M,High,Medium
1458,Wheat,Triticum,High,Low,M,Medium,Medium
1459,Maize,Zea mays,High,High,Low,Low,VeryLow
1460,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1461,Coconut,Cocus nucifera,M,High,M,Low,Low
1462,Chilli,Capsicum frutescens,High,M,M,Low,Low
1463,Cotton,Gossypium,High,M,M,Low,Low
1464,Redgram,Cajanus cajan,Low,M,Low,Low,Low
1465,Onion,Allium sepa,High,M,High,High,High
1466,Potato,Solanum tuberosum,High,High,High,Low,Low
1467,Brinjal,Solanum melongena,High,M,M,Low,Low
1468,Drumstick,Moringa oleifera,M,Low,High,Low,Low
1469,Cabbage,Brassica oleracear var.capitata,High,High,High,High,High
1470,Turmeric,Curcuma longa,M,M,High,VeryLow,VeryLow
1471,Banana,Musa acuminata,High,High,High,M,M
1472,Tomato,Solanum lycopersicum,High,M,M,Low,Low
1473,Sugarcane,Saccharum officinarium,High,High,High,Low,Medium
1474,Mango,Mangifera indica,High,High,M,Medium,Medium
1475,Castor,Ricinus communis,High,M,High,Medium,Low
1476,Mustard,Brassica   ,High,M,M,Low,Low
1477,Cucumber,Cucumis sativus,Low,High,High,Low,Low
1478,Ladies Finger,Abelmoschus esculentus,High,M,M,Low,Low
1479,Gingelly,Sesamum indicum,M,Low,Low,Medium,High
1480,Pumpkin,Cucurbita,High,M,High,Medium,Medium
1481,Bottle Guard,Lagenaria siceraria,Low,Low,M,VeryLow,VeryLow
1482,Bitter Guard,Momordica charantia,High,Low,M,Low,Medium
1483,Ash Guard,Benincasa hispida,High,M,M,VeryLow,VeryLow
1484,Sun Flower,Helianthus,High,M,M,Low,VeryLow
1485,Garlic,,High,Low,High,,VeryLow
1486,Peas,,High,Low,High,VeryLow,VeryLow
1487,Orange,,High,Low,High,VeryLow,VeryLow
1488,Celery,,High,Low,High,VeryLow,VeryLow
1489,GreenHouseTomato,,High,M,High,VeryLow,VeryLow
1490,TableTomato,,High,Low,High,VeryLow,VeryLow
1491,HydrophonicTomato,,High,Low,High,VeryLow,VeryLow
1492,Sorghum,,M,Low,M,VeryLow,VeryLow
1493,PearlMillet,,M,Low,M,VeryLow,VeryLow
1494,Raagi,,Low,Low,Low,VeryLow,VeryLow
1495,SmallMillets,,Low,Low,Low,VeryLow,VeryLow
1496,Barley,,Low,Low,Low,VeryLow,VeryLow
1497,ChickPea,,M,Low,M,VeryLow,VeryLow
1498,PigeonPea,,M,Low,Low,VeryLow,VeryLow
1499,SoyaBean,,High,Low,M,VeryLow,VeryLow
1500,Jute,,M,Low,M,VeryLow,VeryLow
1501,Rubber,,Low,M,Low,,
1502,Tea,,High,Low,M,,
1503,Tobacco,,High,Low,M,,
1504,Apple,,High,Low,M,,
1505,CustardApple,,M,Low,M,,
1506,WaterMelon,,High,Low,M,,
1507,Beetroot,,High,High,High,,
1508,Carrot,,High,High,M,,
1509,Rice,Oryza sativum,High,M,M,High,Medium
1510,Wheat,Triticum,High,Low,M,Medium,Medium
1511,Maize,Zea mays,High,High,Low,Low,VeryLow
1512,GroundNut,Arachis hypogaea,Low,M,High,Medium,Low
1513,Coconut,Cocus nucifera,M,High,M,Low,Low
